Amazon,,Apple,,Microsoft,
11/10/2017,56.268,11/10/2017,2/12/1900,11/10/2017,83.87
11/17/2017,56.494,11/17/2017,2/11/1900,11/17/2017,82.4
11/24/2017,59.3,11/24/2017,2/12/1900,11/24/2017,83.26
12/1/2017,58.117,12/1/2017,2/11/1900,12/1/2017,84.26
12/8/2017,58.1,12/8/2017,2/11/1900,12/8/2017,84.16
12/15/2017,58.957,12/15/2017,2/12/1900,12/15/2017,86.85
12/22/2017,58.418,12/22/2017,2/12/1900,12/22/2017,85.51
12/29/2017,58.474,12/29/2017,2/11/1900,12/29/2017,85.54
1/5/2018,61.457,1/5/2018,2/12/1900,1/5/2018,88.19
1/12/2018,65.26,1/12/2018,2/13/1900,1/12/2018,89.6
1/19/2018,64.729,1/19/2018,2/13/1900,1/19/2018,90
1/26/2018,70.102,1/26/2018,2/11/1900,1/26/2018,94.06
2/2/2018,71.498,2/2/2018,2/9/1900,2/2/2018,91.78
2/9/2018,66.98,2/9/2018,2/8/1900,2/9/2018,88.18
2/16/2018,72.435,2/16/2018,2/12/1900,2/16/2018,92
2/23/2018,75,2/23/2018,2/12/1900,2/23/2018,94.06
3/2/2018,75.013,3/2/2018,2/13/1900,3/2/2018,93.05
3/9/2018,78.945,3/9/2018,2/13/1900,3/9/2018,96.54
3/16/2018,78.584,3/16/2018,2/13/1900,3/16/2018,94.6
3/23/2018,74.778,3/23/2018,2/10/1900,3/23/2018,87.18
3/30/2018,72.367,3/30/2018,2/10/1900,3/30/2018,91.27
4/6/2018,70.262,4/6/2018,2/11/1900,4/6/2018,90.23
4/13/2018,71.54,4/13/2018,2/12/1900,4/13/2018,93.08
4/20/2018,76.375,4/20/2018,2/10/1900,4/20/2018,95
4/27/2018,78.631,4/27/2018,2/9/1900,4/27/2018,95.82
5/4/2018,79.048,5/4/2018,2/14/1900,5/4/2018,95.16
5/11/2018,80.146,5/11/2018,2/16/1900,5/11/2018,97.7
5/18/2018,78.718,5/18/2018,2/15/1900,5/18/2018,96.36
5/25/2018,80.508,5/25/2018,2/16/1900,5/25/2018,98.36
6/1/2018,82.077,6/1/2018,2/16/1900,6/1/2018,100.79
6/8/2018,84.2,6/8/2018,2/16/1900,6/8/2018,101.63
6/15/2018,85.799,6/15/2018,2/16/1900,6/15/2018,100.13
6/22/2018,85.784,6/22/2018,2/15/1900,6/22/2018,100.41
6/29/2018,84.99,6/29/2018,2/15/1900,6/29/2018,98.61
7/6/2018,85.532,7/6/2018,2/15/1900,7/6/2018,101.16
7/13/2018,90.652,7/13/2018,2/16/1900,7/13/2018,105.43
7/20/2018,90.685,7/20/2018,2/16/1900,7/20/2018,106.27
7/27/2018,90.864,7/27/2018,2/16/1900,7/27/2018,107.68
8/3/2018,91.165,8/3/2018,2/20/1900,8/3/2018,108.04
8/10/2018,94.315,8/10/2018,2/20/1900,8/10/2018,109
8/17/2018,94.111,8/17/2018,2/23/1900,8/17/2018,107.58
8/24/2018,95.27,8/24/2018,2/23/1900,8/24/2018,108.4
8/31/2018,100.636,8/31/2018,2/25/1900,8/31/2018,112.33
9/7/2018,97.604,9/7/2018,2/24/1900,9/7/2018,108.21
9/14/2018,98.51,9/14/2018,2/24/1900,9/14/2018,113.37
9/21/2018,95.751,9/21/2018,2/23/1900,9/21/2018,114.26
9/28/2018,100.15,9/28/2018,2/25/1900,9/28/2018,114.37
10/5/2018,94.483,10/5/2018,2/25/1900,10/5/2018,112.13
10/12/2018,89.431,10/12/2018,2/24/1900,10/12/2018,109.57
10/19/2018,88.202,10/19/2018,2/23/1900,10/19/2018,108.66
10/26/2018,82.141,10/26/2018,2/23/1900,10/26/2018,106.96
11/2/2018,83.277,11/2/2018,2/20/1900,11/2/2018,106.16
11/9/2018,85.622,11/9/2018,2/20/1900,11/9/2018,109.57
11/16/2018,79.671,11/16/2018,2/17/1900,11/16/2018,108.29
11/23/2018,75.103,11/23/2018,2/12/1900,11/23/2018,103.07
11/30/2018,84.509,11/30/2018,2/13/1900,11/30/2018,110.89
12/7/2018,81.457,12/7/2018,2/11/1900,12/7/2018,104.82
12/14/2018,79.596,12/14/2018,2/10/1900,12/14/2018,106.03
12/21/2018,68.873,12/21/2018,2/6/1900,12/21/2018,98.23
12/28/2018,73.901,12/28/2018,2/8/1900,12/28/2018,100.39
1/4/2019,78.77,1/4/2019,2/6/1900,1/4/2019,101.93
1/11/2019,82.028,1/11/2019,2/7/1900,1/11/2019,102.8
1/18/2019,84.81,1/18/2019,2/8/1900,1/18/2019,107.71
1/25/2019,83.529,1/25/2019,2/8/1900,1/25/2019,107.17
2/1/2019,81.312,2/1/2019,2/10/1900,2/1/2019,102.78
2/8/2019,79.411,2/8/2019,2/11/1900,2/8/2019,105.67
2/15/2019,80.398,2/15/2019,2/11/1900,2/15/2019,108.22
2/22/2019,81.578,2/22/2019,2/12/1900,2/22/2019,110.97
